CRE;Annee_naissance;genre;Effectif des inscrits
Mahdia;2008;Masculin;5
Mahdia;2009;Feminin;490
Mahdia;2009;Masculin;285
Mahdia;2010;Feminin;52
Mahdia;2010;Masculin;31
Kairouan;2005;Feminin;1
Kairouan;2006;Feminin;1
Kairouan;2007;Masculin;1
Kairouan;2008;Feminin;10
Kairouan;2008;Masculin;15
Kairouan;2009;Feminin;716
Kairouan;2009;Masculin;467
Kairouan;2010;Feminin;68
Kairouan;2010;Masculin;43
Monastir;2006;Feminin;2
Monastir;2006;Masculin;1
Monastir;2007;Feminin;3
Monastir;2008;Feminin;16
Monastir;2008;Masculin;6
Monastir;2009;Feminin;1171
Monastir;2009;Masculin;721
Monastir;2010;Feminin;106
Monastir;2010;Masculin;67
Sousse;2005;Feminin;1
Sousse;2007;Feminin;3
Sousse;2007;Masculin;2
Sousse;2008;Feminin;16
Sousse;2008;Masculin;13
Sousse;2009;Feminin;1142
Sousse;2009;Masculin;763
Sousse;2010;Feminin;114
Sousse;2010;Masculin;76
Sousse;2011;Feminin;1
Nabeul;2005;Feminin;1
Nabeul;2006;Masculin;2
Nabeul;2007;Feminin;8
Nabeul;2007;Masculin;2
Nabeul;2008;Feminin;27
Nabeul;2008;Masculin;19
Nabeul;2009;Feminin;1378
Nabeul;2009;Masculin;831
Nabeul;2010;Feminin;103
Nabeul;2010;Masculin;55
